feature_name,importance,rank,feature_group
flank_right_+3_C,0.0001730166625813284,241,Flanking sequence context
wt_onehot_W,0.0001401285404235586,242,Mutation substitution deltas
wt_onehot_Q,0.00013284516767867705,243,Mutation substitution deltas
wt_onehot_R,0.0001315661197178193,244,Mutation substitution deltas
flank_right_+5_H,0.00010838813198268426,245,Flanking sequence context
flank_right_+4_W,0.00010624504247415791,246,Flanking sequence context
flank_right_+4_C,8.149549907028227e-05,247,Flanking sequence context
flank_right_+1_H,7.331750529548472e-05,248,Flanking sequence context
flank_left_-3_C,6.406153632323593e-05,249,Flanking sequence context
flank_right_+2_M,6.0881162807451306e-05,250,Flanking sequence context
mut_onehot_W,4.0474381869226974e-05,251,Mutation substitution deltas
flank_left_-4_W,1.1372043703448298e-05,252,Flanking sequence context
